oven,start_time,chickens,estimated_end_time,end_time,actual_cooking_time,date
3,2024-10-03 13:18:28.023613-04:00,32.0,,2024-10-03 14:48:28.023613-04:00,90.0,2024-10-03
2,2024-10-03 13:18:31.050991-04:00,32.0,,2024-10-03 14:48:31.050991-04:00,90.0,2024-10-03
4,2024-10-03 14:42:52.786671-04:00,28.0,,2024-10-03 16:12:52.786671-04:00,90.0,2024-10-03
4,2024-10-03 14:42:53.292809-04:00,28.0,,2024-10-03 16:12:53.292809-04:00,90.0,2024-10-03
2,2024-10-03 14:56:58.812589-04:00,32.0,,2024-10-03 16:26:58.812589-04:00,90.0,2024-10-03
1,2024-10-03 14:57:02.484518-04:00,28.0,2024-10-03 16:27:02.484518-04:00,,,2024-10-03
1,2024-10-03 14:57:11.190046-04:00,28.0,2024-10-03 16:27:11.190046-04:00,,,2024-10-03
1,2024-10-03 14:57:41.517120-04:00,28.0,2024-10-03 16:27:41.517120-04:00,2024-10-03 17:20:24.364798-04:00,142.71412796666667,2024-10-03
2,2024-10-03 15:00:35.431813-04:00,32.0,,2024-10-03 16:30:35.431813-04:00,90.0,2024-10-03
1,2024-10-03 15:03:30.566972-04:00,28.0,2024-10-03 16:33:30.566972-04:00,,,2024-10-03
2,2024-10-03 15:03:33.563662-04:00,32.0,2024-10-03 16:33:33.563662-04:00,2024-10-03 16:21:24.729707-04:00,77.85276741666667,2024-10-03
3,2024-10-03 15:03:35.227174-04:00,32.0,2024-10-03 16:33:35.227174-04:00,2024-10-03 16:45:39.939039-04:00,102.07853108333333,2024-10-03
3,2024-10-03 16:16:37.318574-04:00,0.0,,2024-10-03 17:46:37.318574-04:00,90.0,2024-10-03
2,2024-10-03 16:16:48.444645-04:00,0.0,,2024-10-03 17:46:48.444645-04:00,90.0,2024-10-03
1,2024-10-03 17:00:38.535847-04:00,28.0,2024-10-03 18:30:38.535847-04:00,,,2024-10-03
1,2024-10-03 17:46:14.740423-04:00,28.0,2024-10-03 19:16:14.740423-04:00,2024-10-03 19:54:51.299840-04:00,128.60932361666667,2024-10-03
1,2024-10-03 17:46:14.986957-04:00,32.0,2024-10-03 19:16:14.986957-04:00,2024-10-03 17:46:26.512022-04:00,0.19208441666666667,2024-10-03
2,2024-10-03 17:48:19.447646-04:00,28.0,2024-10-03 19:18:19.447646-04:00,2024-10-03 17:48:21.147892-04:00,0.028337433333333332,2024-10-03
4,2024-10-03 17:48:25.934609-04:00,28.0,2024-10-03 19:18:25.934609-04:00,2024-10-03 17:48:27.425780-04:00,0.02485285,2024-10-03
4,2024-10-03 17:48:29.680122-04:00,28.0,2024-10-03 19:18:29.680122-04:00,2024-10-03 17:48:31.165924-04:00,0.024763366666666668,2024-10-03
2,2024-10-04 11:36:52.144768-04:00,32.0,2024-10-04 13:06:52.144768-04:00,2024-10-04 13:11:49.449925-04:00,94.95508595,2024-10-04
4,2024-10-04 11:37:04.570727-04:00,32.0,2024-10-04 13:07:04.570727-04:00,2024-10-04 13:20:47.048231-04:00,103.70795840000001,2024-10-04
3,2024-10-04 11:37:16.215835-04:00,32.0,2024-10-04 13:07:16.215835-04:00,2024-10-04 13:11:40.295586-04:00,94.40132918333333,2024-10-04
3,2024-10-04 13:20:42.846158-04:00,28.0,2024-10-04 14:50:42.846158-04:00,2024-10-04 14:46:58.609941-04:00,86.26272971666667,2024-10-04
2,2024-10-04 13:20:44.566649-04:00,28.0,2024-10-04 14:50:44.566649-04:00,2024-10-04 14:46:59.274082-04:00,86.24512388333332,2024-10-04
3,2024-10-04 15:07:03.048712-04:00,28.0,2024-10-04 16:37:03.048712-04:00,2024-10-04 16:34:21.228914-04:00,87.30300336666666,2024-10-04
2,2024-10-04 15:07:13.240915-04:00,28.0,2024-10-04 16:37:13.240915-04:00,2024-10-04 16:34:22.077625-04:00,87.1472785,2024-10-04
4,2024-10-04 15:07:14.811223-04:00,28.0,2024-10-04 16:37:14.811223-04:00,2024-10-04 17:06:34.763256-04:00,119.33253388333333,2024-10-04
3,2024-10-05 11:36:36.979774-04:00,32.0,2024-10-05 13:06:36.979774-04:00,2024-10-05 13:27:39.583567-04:00,111.04339655,2024-10-05
4,2024-10-05 11:36:39.233923-04:00,32.0,2024-10-05 13:06:39.233923-04:00,2024-10-05 13:27:40.199732-04:00,111.01609681666667,2024-10-05
2,2024-10-05 12:15:47.117177-04:00,32.0,2024-10-05 13:45:47.117177-04:00,2024-10-05 13:45:55.315275-04:00,90.13663496666666,2024-10-05
1,2024-10-05 12:19:58.019577-04:00,32.0,2024-10-05 13:49:58.019577-04:00,,,2024-10-05
3,2024-10-05 13:43:58.812093-04:00,32.0,2024-10-05 15:13:58.812093-04:00,2024-10-05 15:17:16.275047-04:00,93.29104923333333,2024-10-05
4,2024-10-05 13:43:59.209173-04:00,32.0,2024-10-05 15:13:59.209173-04:00,2024-10-05 15:17:16.600191-04:00,93.2898503,2024-10-05
1,2024-10-05 14:12:53.469624-04:00,28.0,2024-10-05 15:42:53.469624-04:00,2024-10-05 17:26:54.331608-04:00,194.0143664,2024-10-05
2,2024-10-05 14:12:57.102264-04:00,28.0,2024-10-05 15:42:57.102264-04:00,2024-10-05 16:14:45.520600-04:00,121.80697226666666,2024-10-05
3,2024-10-05 15:59:35.182386-04:00,28.0,2024-10-05 17:29:35.182386-04:00,2024-10-05 17:26:52.320033-04:00,87.28562744999999,2024-10-05
4,2024-10-05 15:59:39.886117-04:00,28.0,2024-10-05 17:29:39.886117-04:00,2024-10-05 17:26:52.045385-04:00,87.20265446666667,2024-10-05
1,2024-10-06 12:21:19.415797-04:00,28.0,2024-10-06 13:51:19.415797-04:00,2024-10-06 13:44:02.715423-04:00,82.72166043333333,2024-10-06
3,2024-10-06 12:21:26.281835-04:00,28.0,2024-10-06 13:51:26.281835-04:00,2024-10-06 13:44:03.912170-04:00,82.62717225,2024-10-06
2,2024-10-06 13:11:06.148939-04:00,28.0,2024-10-06 14:41:06.148939-04:00,2024-10-06 14:47:03.852387-04:00,95.96172413333333,2024-10-06
4,2024-10-06 13:11:07.342179-04:00,28.0,2024-10-06 14:41:07.342179-04:00,2024-10-06 14:47:05.087072-04:00,95.96241488333334,2024-10-06
3,2024-10-06 13:54:26.338523-04:00,28.0,2024-10-06 15:24:26.338523-04:00,2024-10-06 15:46:44.928280-04:00,112.30982928333333,2024-10-06
1,2024-10-06 13:54:35.668337-04:00,28.0,2024-10-06 15:24:35.668337-04:00,2024-10-06 15:46:43.642434-04:00,112.13290161666667,2024-10-06
2,2024-10-06 14:54:49.854104-04:00,28.0,2024-10-06 16:24:49.854104-04:00,2024-10-06 16:25:44.636032-04:00,90.91303213333335,2024-10-06
4,2024-10-06 14:54:53.565270-04:00,28.0,2024-10-06 16:24:53.565270-04:00,2024-10-06 16:25:45.887880-04:00,90.8720435,2024-10-06
3,2024-10-06 15:47:00.445536-04:00,28.0,2024-10-06 17:17:00.445536-04:00,2024-10-06 17:23:50.547110-04:00,96.83502623333334,2024-10-06
1,2024-10-06 15:47:02.132890-04:00,28.0,2024-10-06 17:17:02.132890-04:00,2024-10-06 17:26:20.499508-04:00,99.3061103,2024-10-06
