oven,start_time,chickens,expected_end_time,end_time,actual_cooking_time,time_difference,date
2,2024-10-04 12:36:48.744000-04:00,32.0,2024-10-04 13:06:51.986000-04:00,2024-10-04 13:11:49.449000-04:00,35.01175,4.957716666666667,2024-10-04
4,2024-10-04 12:37:02.083000-04:00,32.0,2024-10-04 13:07:04.421000-04:00,2024-10-04 13:20:47.048000-04:00,43.74941666666667,13.71045,2024-10-04
3,2024-10-04 12:37:13.645000-04:00,32.0,2024-10-04 13:07:16.091000-04:00,2024-10-04 13:11:40.295000-04:00,34.44416666666667,4.4034,2024-10-04
3,2024-10-04 13:20:42.846000-04:00,28.0,2024-10-04 14:50:42.698000-04:00,2024-10-04 14:46:58.609000-04:00,86.26271666666666,-3.7348166666666667,2024-10-04
2,2024-10-04 13:20:44.566000-04:00,28.0,2024-10-04 14:50:44.498000-04:00,2024-10-04 14:46:59.274000-04:00,86.24513333333333,-3.7537333333333334,2024-10-04
3,2024-10-04 15:07:03.048000-04:00,28.0,2024-10-04 16:37:02.966000-04:00,2024-10-04 16:34:21.228000-04:00,87.30300000000001,-2.6956333333333333,2024-10-04
2,2024-10-04 15:07:13.240000-04:00,28.0,2024-10-04 16:37:13.157000-04:00,2024-10-04 16:34:22.077000-04:00,87.14728333333333,-2.8513333333333337,2024-10-04
4,2024-10-04 15:07:14.811000-04:00,28.0,2024-10-04 16:37:14.731000-04:00,2024-10-04 17:06:34.763000-04:00,119.33253333333333,29.333866666666665,2024-10-04
3,2024-10-05 11:36:36.979000-04:00,32.0,2024-10-05 13:06:36.813000-04:00,2024-10-05 13:27:39.583000-04:00,111.0434,21.046166666666668,2024-10-05
4,2024-10-05 11:36:39.233000-04:00,32.0,2024-10-05 13:06:39.153000-04:00,2024-10-05 13:27:40.199000-04:00,111.01610000000001,21.017433333333333,2024-10-05
2,2024-10-05 12:15:47.117000-04:00,32.0,2024-10-05 13:45:46.772000-04:00,2024-10-05 13:45:55.315000-04:00,90.13663333333334,0.14238333333333333,2024-10-05
1,2024-10-05 12:19:58.019000-04:00,32.0,2024-10-05 13:49:57.805000-04:00,2024-10-05 14:10:55.315000-04:00,110.95493333333334,20.9585,2024-10-05
3,2024-10-05 13:43:58.812000-04:00,32.0,2024-10-05 15:13:58.729000-04:00,2024-10-05 15:17:16.275000-04:00,93.29105,3.2924333333333333,2024-10-05
4,2024-10-05 13:43:59.209000-04:00,32.0,2024-10-05 15:13:59.142000-04:00,2024-10-05 15:17:16.600000-04:00,93.28984999999999,3.290966666666667,2024-10-05
1,2024-10-05 14:12:53.469000-04:00,28.0,2024-10-05 15:42:53.031000-04:00,2024-10-05 17:26:54.331000-04:00,194.01436666666666,104.02166666666668,2024-10-05
2,2024-10-05 14:12:57.102000-04:00,28.0,2024-10-05 15:42:56.844000-04:00,2024-10-05 16:14:45.520000-04:00,121.80696666666667,31.811266666666665,2024-10-05
3,2024-10-05 15:59:35.182000-04:00,28.0,2024-10-05 17:29:35.133000-04:00,2024-10-05 17:26:52.320000-04:00,87.28563333333334,-2.7135499999999997,2024-10-05
4,2024-10-05 15:59:39.886000-04:00,28.0,2024-10-05 17:29:39.832000-04:00,2024-10-05 17:26:52.045000-04:00,87.20264999999999,-2.79645,2024-10-05
2,2024-10-06 13:11:06.148000-04:00,28.0,2024-10-06 14:41:05.430000-04:00,2024-10-06 14:47:03.852000-04:00,95.96173333333333,5.9737,2024-10-06
4,2024-10-06 13:11:07.342000-04:00,28.0,2024-10-06 14:41:06.643000-04:00,2024-10-06 14:47:05.087000-04:00,95.96241666666667,5.974066666666667,2024-10-06
1,2024-10-06 13:11:16.919000-04:00,28.0,2024-10-06 13:51:19.170000-04:00,2024-10-06 13:44:02.715000-04:00,32.76326666666667,-7.274249999999999,2024-10-06
3,2024-10-06 13:11:23.302000-04:00,28.0,2024-10-06 13:51:26.018000-04:00,2024-10-06 13:44:03.912000-04:00,32.676833333333335,-7.368433333333333,2024-10-06
