action,oven,chickens,start_time,expected_end_time,timestamp,new_time_left,new_expected_end_time,actual_end_time,chickens_taken,chickens_left,time,cooking_duration,imputed_start_time,is_imputed
start_cooking,1,32.0,2024-10-05T16:19:57.805Z,2024-10-05T17:49:57.805Z,2024-10-05 16:19:58.019000+00:00,,,,,,,67.69273333333334,2024-10-05 16:19:58.019000+00:00,False
post_rush,1,,,,2024-10-05 18:02:38.855000+00:00,,,,4.0,28.0,2024-10-05T18:02:33.533Z,,2024-10-05 18:02:38.855000+00:00,False
finish_cooking,1,32.0,2024-10-18T12:19:46.000Z,2024-10-18T14:10:01.000Z,2024-10-05 18:10:55.315000+00:00,,,2024-10-05T18:10:00.000Z,,,,,2024-10-05 17:18:57.960868+00:00,True
start_cooking,1,28.0,2024-10-05T18:12:53.031Z,2024-10-05T19:42:53.031Z,2024-10-05 18:12:53.469000+00:00,,,,,,,64.3801,2024-10-05 18:12:53.469000+00:00,False
finish_cooking,1,28.0,2024-10-18T14:12:53.000Z,2024-10-18T15:42:53.000Z,2024-10-05 21:26:54.331000+00:00,,,2024-10-05T21:26:53.959Z,,,,,2024-10-05 20:34:56.976868+00:00,True
post_rush,1,,,,2024-10-05 21:26:57.547000+00:00,,,,18.0,10.0,2024-10-05T21:26:57.357Z,,2024-10-05 21:26:57.547000+00:00,False
start_cooking,1,28.0,2024-10-06T17:11:16.218Z,2024-10-06T18:41:16.218Z,2024-10-06 17:11:16.919000+00:00,,,,,,,32.76326666666667,2024-10-06 17:11:16.919000+00:00,False
adjust_cooking_time,1,,,,2024-10-06 17:11:19.415000+00:00,40.0,2024-10-06T17:51:19.170Z,,,,,,2024-10-06 17:11:19.415000+00:00,False
finish_cooking,1,28.0,,2024-10-18T13:51:19.000Z,2024-10-06 17:44:02.715000+00:00,,,2024-10-06T17:44:02.527Z,,,,,2024-10-06 16:52:05.360868+00:00,True
post_rush,1,,,,2024-10-06 17:54:30.578000+00:00,,,,18.0,10.0,2024-10-06T17:54:30.595Z,,2024-10-06 17:54:30.578000+00:00,False
start_cooking,1,28.0,2024-10-06T17:54:35.674Z,2024-10-06T19:24:35.674Z,2024-10-06 17:54:35.668000+00:00,,,,,,,52.46973333333334,2024-10-06 17:54:35.668000+00:00,False
finish_cooking,1,28.0,2024-10-18T13:54:35.000Z,2024-10-18T15:24:35.000Z,2024-10-06 19:46:43.642000+00:00,,,2024-10-06T19:46:43.455Z,,,,,2024-10-06 18:54:46.287868+00:00,True
post_rush,1,,,,2024-10-06 19:46:55.645000+00:00,,,,13.0,15.0,2024-10-06T19:46:55.484Z,,2024-10-06 19:46:55.645000+00:00,False
start_cooking,1,28.0,2024-10-06T19:47:02.066Z,2024-10-06T21:17:02.066Z,2024-10-06 19:47:02.132000+00:00,,,,,,,38.7084,2024-10-06 19:47:02.132000+00:00,False
finish_cooking,1,28.0,2024-10-18T15:47:02.000Z,2024-10-18T17:17:02.000Z,2024-10-06 21:26:20.499000+00:00,,,2024-10-06T21:26:20.311Z,,,,,2024-10-06 20:34:23.144868+00:00,True
post_rush,1,,,,2024-10-06 21:42:57.467000+00:00,,,,13.0,15.0,2024-10-06T21:42:57.302Z,,2024-10-06 21:42:57.467000+00:00,False
start_cooking,1,28.0,2024-10-07T17:06:08.780Z,2024-10-07T18:36:08.780Z,2024-10-07 17:06:08.944000+00:00,,,,,,,26.094733333333334,2024-10-07 17:06:08.944000+00:00,False
adjust_cooking_time,1,,,,2024-10-07 17:06:12.395000+00:00,20.0,2024-10-07T17:26:12.349Z,,,,,,2024-10-07 17:06:12.395000+00:00,False
